Wikipedia page,Text,Links
Melde's experiment,"Melde's experiment is a scientific experiment carried out in 1859 by the German physicist Franz Melde on the standing waves produced in a tense cable originally set oscillating by a tuning fork, later improved with connection to an electric vibrator.",https://en.wikipedia.org/wiki/Melde's_experiment
3rd bridge (harmonic resonance based on equal string divisions),Exception occurred,https://en.wikipedia.org/wiki/3rd_bridge_(harmonic_resonance_based_on_equal_string_divisions)
String resonance,Sympathetic resonance or sympathetic vibration is a harmonic phenomenon wherein a passive string or vibratory body responds to external vibrations to which it has a harmonic likeness.,https://en.wikipedia.org/wiki/String_resonance
Reflection phase change,"A phase change sometimes occurs when a wave is reflected, specifically from a medium with faster wave speed to the boundary of a medium with slower wave speed.",https://en.wikipedia.org/wiki/Reflection_phase_change
List of refractive indices,"Many materials have a well-characterized refractive index, but these indices often depend strongly upon the frequency of light, causing optical dispersion.",https://en.wikipedia.org/wiki/List_of_refractive_indices
The refractive index vs wavelength of light – Empirical relationship between refractive index and wavelength,"Snell's law (also known as the Snell–Descartes law,  the ibn-Sahl law, and the law of refraction) is a formula used to describe the relationship between the angles of incidence and refraction, when referring to light or other waves passing through a boundary between two different isotropic media, such as water, glass, or air.",https://en.wikipedia.org/wiki/The_refractive_index_vs_wavelength_of_light_–_Empirical_relationship_between_refractive_index_and_wavelength
Evanescent wave – Type of field where the net flow of electromagnetic energy is zeroPages displaying short descriptions of redirect targets,"Snell's law (also known as the Snell–Descartes law,  the ibn-Sahl law, and the law of refraction) is a formula used to describe the relationship between the angles of incidence and refraction, when referring to light or other waves passing through a boundary between two different isotropic media, such as water, glass, or air.",https://en.wikipedia.org/wiki/Evanescent_wave_–_Type_of_field_where_the_net_flow_of_electromagnetic_energy_is_zeroPages_displaying_short_descriptions_of_redirect_targets
"Reflection (physics) – ""Bouncing back"" of waves at an interface",Reflection is the change in direction of a wavefront at an interface between two different media so that the wavefront returns into the medium from which it originated.,"https://en.wikipedia.org/wiki/Reflection_(physics)_–_""Bouncing_back""_of_waves_at_an_interface"
Snell's window – Underwater phenomenon due to Snell's Law,"Snell's law (also known as the Snell–Descartes law,  the ibn-Sahl law, and the law of refraction) is a formula used to describe the relationship between the angles of incidence and refraction, when referring to light or other waves passing through a boundary between two different isotropic media, such as water, glass, or air.",https://en.wikipedia.org/wiki/Snell's_window_–_Underwater_phenomenon_due_to_Snell's_Law
Calculus of variations – Differential calculus on function spaces,"The calculus of variations (or variational calculus) is a field of mathematical analysis that uses variations, which are small changes in functions
and functionals, to find maxima and minima of functionals: mappings from a set of functions to the real numbers.",https://en.wikipedia.org/wiki/Calculus_of_variations_–_Differential_calculus_on_function_spaces
Brachistochrone curve – Fastest curve descent without friction for a simple proof by Jacob Bernoulli,"Snell's law (also known as the Snell–Descartes law,  the ibn-Sahl law, and the law of refraction) is a formula used to describe the relationship between the angles of incidence and refraction, when referring to light or other waves passing through a boundary between two different isotropic media, such as water, glass, or air.",https://en.wikipedia.org/wiki/Brachistochrone_curve_–_Fastest_curve_descent_without_friction_for_a_simple_proof_by_Jacob_Bernoulli
Hamiltonian optics,Hamiltonian optics and Lagrangian optics are two formulations of geometrical optics which share much of the mathematical formalism with Hamiltonian mechanics and Lagrangian mechanics.,https://en.wikipedia.org/wiki/Hamiltonian_optics
Computation of radiowave attenuation in the atmosphere,The computation of radiowave attenuation in the atmosphere is a series of radio propagation models and methods to estimate the path loss due to attenuation of the signal passing through the atmosphere by the absorption of its different components.,https://en.wikipedia.org/wiki/Computation_of_radiowave_attenuation_in_the_atmosphere
N-slit interferometric equation,"Quantum mechanics was first applied to optics, and interference in particular, by Paul Dirac.",https://en.wikipedia.org/wiki/N-slit_interferometric_equation
Acoustoelastic effect,The acoustoelastic effect is how the sound velocities (both longitudinal and shear wave velocities) of an elastic material change if subjected to an initial static stress field.,https://en.wikipedia.org/wiki/Acoustoelastic_effect
Elastic potential energy,Elastic energy is the mechanical potential energy stored in the configuration of a material or physical system as it is subjected to elastic deformation by work performed upon it.,https://en.wikipedia.org/wiki/Elastic_potential_energy
Laws of science,"Scientific laws or laws of science are statements, based on repeated experiments or observations, that describe or predict a range of natural phenomena.",https://en.wikipedia.org/wiki/Laws_of_science
List of scientific laws named after people,This is a list of scientific laws named after people (eponymous laws).,https://en.wikipedia.org/wiki/List_of_scientific_laws_named_after_people
Quadratic form,"In mathematics, a quadratic form is a polynomial with terms all of degree two (""form"" is another name for a homogeneous polynomial).",https://en.wikipedia.org/wiki/Quadratic_form
Series and parallel springs,"In mechanics, two or more springs are said to be in series when they are connected end-to-end or point to point, and it is said to be in parallel when they are connected  side-by-side; in both cases, so as to act as a single spring:

More generally, two or more springs are in series when any external stress applied to the ensemble gets applied to each spring without change of magnitude, and the amount strain (deformation) of the ensemble is the sum of the strains of the individual springs.",https://en.wikipedia.org/wiki/Series_and_parallel_springs
Spring system,"In engineering and physics, a spring system or spring network is a model of physics described as a graph with a position at each vertex and a spring of given stiffness and length along each edge.",https://en.wikipedia.org/wiki/Spring_system
Simple harmonic motion of a mass on a spring,"In mechanics and physics, simple harmonic motion (sometimes abbreviated SHM) is a special type of periodic motion an object experiences due to a restoring force whose magnitude is directly proportional to the distance of the object from an equilibrium position and acts towards the equilibrium position.",https://en.wikipedia.org/wiki/Simple_harmonic_motion_of_a_mass_on_a_spring
Sine wave,Exception occurred,https://en.wikipedia.org/wiki/Sine_wave
Solid mechanics,"Solid mechanics (also known as mechanics of solids) is the branch of continuum mechanics that studies the behavior of solid materials, especially their motion and deformation under the action of forces, temperature changes, phase changes, and other external or internal agents.",https://en.wikipedia.org/wiki/Solid_mechanics
Spring pendulum,"In physics and mathematics, in the area of dynamical systems, an elastic pendulum (also called spring pendulum or swinging spring) is a physical system where a piece of mass is connected to a spring so that the resulting motion contains  elements of both a simple pendulum and a one-dimensional spring-mass system.",https://en.wikipedia.org/wiki/Spring_pendulum
Radio astronomy,Radio astronomy is a subfield of astronomy that studies celestial objects at radio frequencies.,https://en.wikipedia.org/wiki/Radio_astronomy
Television transmitter,A television transmitter is a transmitter that is used for terrestrial (over-the-air) television broadcasting.,https://en.wikipedia.org/wiki/Television_transmitter
Outline of rights,Exception occurred,https://en.wikipedia.org/wiki/Outline_of_rights
Organisations:,"A nonprofit organization (NPO) or non-profit organization, also known as a non-business entity, or nonprofit institution, is a legal entity organized and operated for a collective, public or social benefit, in contrary with an entity that operates as a business aiming to generate a profit for its owners.",https://en.wikipedia.org/wiki/Organisations:
,Exception occurred,https://en.wikipedia.org/wiki/
Amnesty International,"Amnesty International (also referred to as Amnesty or AI) is an international non-governmental organisation focused on human rights, with its headquarters in the United Kingdom.",https://en.wikipedia.org/wiki/Amnesty_International
Human Rights Watch,Human Rights Watch (HRW) is an international non-governmental organization headquartered in New York City that conducts research and advocacy on human rights.,https://en.wikipedia.org/wiki/Human_Rights_Watch
United States Commission on Civil Rights,"The U.S. Commission on Civil Rights (CCR) is a bipartisan, independent commission of the United States federal government, created by the Civil Rights Act of 1957 during the Eisenhower administration, that is charged with the responsibility for investigating, reporting on, and making recommendations concerning civil rights issues in the United States.",https://en.wikipedia.org/wiki/United_States_Commission_on_Civil_Rights
Continuous and progressive aspects,"The continuous and progressive aspects (abbreviated CONT and PROG) are grammatical aspects that express incomplete action (""to do"") or state (""to be"") in progress at a specific time: they are non-habitual, imperfective aspects.",https://en.wikipedia.org/wiki/Continuous_and_progressive_aspects
Inchoative verb,"An inchoative verb, sometimes called an ""inceptive"" verb, shows a process of beginning or becoming.",https://en.wikipedia.org/wiki/Inchoative_verb
Emission spectrum,The emission spectrum of a chemical element or chemical compound is the spectrum of frequencies of electromagnetic radiation emitted due to electrons making a transition from a high energy state to a lower energy state.,https://en.wikipedia.org/wiki/Emission_spectrum
Envelope (waves),"In physics and engineering, the envelope of an oscillating signal is a smooth curve outlining its extremes.",https://en.wikipedia.org/wiki/Envelope_(waves)
"Fraunhofer lines – dark lines in the solar spectrum, traditionally used as standard optical wavelength references","In physics and mathematics, wavelength or spatial period of a wave or periodic function is the distance over which the wave's shape repeats.","https://en.wikipedia.org/wiki/Fraunhofer_lines_–_dark_lines_in_the_solar_spectrum,_traditionally_used_as_standard_optical_wavelength_references"
Index of wave articles,This is a list of wave topics.,https://en.wikipedia.org/wiki/Index_of_wave_articles
Length measurement,"Length measurement, distance measurement, or range measurement (ranging) refers to the many ways in which length, distance, or range can be measured.",https://en.wikipedia.org/wiki/Length_measurement
Spectral line,"A spectral line is a weaker or stronger region in an otherwise uniform and continuous spectrum, resulting from emission or absorption of light in a narrow frequency range, compared with the nearby frequencies.",https://en.wikipedia.org/wiki/Spectral_line
Spectroscopy,Spectroscopy is the field of study that measures and interprets the electromagnetic spectra that result from the interaction between electromagnetic  radiation and matter as a function of the wavelength or frequency of the radiation.,https://en.wikipedia.org/wiki/Spectroscopy
Spectrum,"A spectrum (PL: spectra or spectrums) is a condition that is not limited to a specific set of values but can vary, without gaps, across a continuum.",https://en.wikipedia.org/wiki/Spectrum
Longitudinal wave,Longitudinal waves are waves in which the vibration of the medium is parallel to the direction the wave travels and displacement of the medium is in the same (or opposite) direction of the wave propagation.,https://en.wikipedia.org/wiki/Longitudinal_wave
Luminiferous aether – the postulated medium for light waves; accepting that light was a transverse wave prompted a search for evidence of this physical medium,"In physics, a transverse wave is a wave that oscillates perpendicularly to the direction of the wave's advance.",https://en.wikipedia.org/wiki/Luminiferous_aether_–_the_postulated_medium_for_light_waves;_accepting_that_light_was_a_transverse_wave_prompted_a_search_for_evidence_of_this_physical_medium
Shear wave splitting,"Shear wave splitting, also called seismic birefringence, is the phenomenon that occurs when a polarized shear wave enters an anisotropic medium (Fig.",https://en.wikipedia.org/wiki/Shear_wave_splitting
Sinusoidal plane-wave solutions of the electromagnetic wave equation,The electromagnetic wave equation is a second-order partial differential equation that describes the propagation of electromagnetic waves through a medium or in a vacuum.,https://en.wikipedia.org/wiki/Sinusoidal_plane-wave_solutions_of_the_electromagnetic_wave_equation
Transverse mode,Exception occurred,https://en.wikipedia.org/wiki/Transverse_mode
Elastography,Elastography is any of a class of medical imaging modalities that map the elastic properties and stiffness of soft tissue.,https://en.wikipedia.org/wiki/Elastography
Shear-wave elasticity imaging,Elastography is any of a class of medical imaging modalities that map the elastic properties and stiffness of soft tissue.,https://en.wikipedia.org/wiki/Shear-wave_elasticity_imaging
Transverse wave,"In physics, a transverse wave is a wave that oscillates perpendicularly to the direction of the wave's advance.",https://en.wikipedia.org/wiki/Transverse_wave
Sound,South is one of the cardinal directions or compass points.,https://en.wikipedia.org/wiki/Sound
Acoustic wave,Acoustic waves are a type of energy propagation through a medium by means of adiabatic loading and unloading.,https://en.wikipedia.org/wiki/Acoustic_wave
P-wave,"In seismology and other areas involving elastic waves, S waves, secondary waves, or shear waves (sometimes called elastic S waves) are a type of elastic wave and are one of the two main types of elastic body waves, so named because they move through the body of an object, unlike surface waves.S waves are transverse waves, meaning that the direction of particle movement of an S wave is perpendicular to the direction of wave propagation, and the main restoring force comes from shear stress.",https://en.wikipedia.org/wiki/P-wave
Plasma waves,"In plasma physics, waves in plasmas are an interconnected set of particles and fields which propagate in a periodically repeating fashion.",https://en.wikipedia.org/wiki/Plasma_waves
Bride kidnapping,"Bride kidnapping, also known as marriage by abduction or marriage by capture, is a practice in which a man abducts the woman he wishes to marry.Bride kidnapping (hence the portmanteau bridenapping) has been practiced around the world and throughout prehistory and history, among peoples as diverse as the Hmong in Southeast Asia, African Tribes, the Tzeltal in Mexico, and the Romani in Europe.",https://en.wikipedia.org/wiki/Bride_kidnapping
Wife selling,"Wife selling in England was a way of ending an unsatisfactory marriage that probably began in the late 17th century, when divorce was a practical impossibility for all but the very wealthiest.",https://en.wikipedia.org/wiki/Wife_selling
Electrochemical hydrogen compressor,"An electrochemical hydrogen compressor is a hydrogen compressor where hydrogen is supplied to the anode, and compressed hydrogen is collected at the cathode with an exergy efficiency up to and even beyond 80% for pressures up to 10,000 psi or 700 bars.",https://en.wikipedia.org/wiki/Electrochemical_hydrogen_compressor
Chemical reactions,A chemical reaction is a process that leads to the chemical transformation of one set of chemical substances to another.,https://en.wikipedia.org/wiki/Chemical_reactions
Microstate (statistical mechanics) - includes Microscopic definition of work,Exception occurred,https://en.wikipedia.org/wiki/Microstate_(statistical_mechanics)_-_includes_Microscopic_definition_of_work
Geothermal energy,Geothermal energy is thermal energy in the Earth's crust.,https://en.wikipedia.org/wiki/Geothermal_energy
Geothermal heating,Geothermal heating is the direct use of geothermal energy for some heating applications.,https://en.wikipedia.org/wiki/Geothermal_heating
Geothermal power,Geothermal power is electrical power generated from geothermal energy.,https://en.wikipedia.org/wiki/Geothermal_power
Heat transfer,Exception occurred,https://en.wikipedia.org/wiki/Heat_transfer
Ocean thermal energy conversion,Ocean Thermal Energy Conversion (OTEC) is a renewable energy technology that harnesses the temperature difference between the warm surface waters of the ocean and the cold depths to produce electricity.,https://en.wikipedia.org/wiki/Ocean_thermal_energy_conversion
Orders of magnitude (temperature),"
== List of orders of magnitude for temperature ==


== Detailed list for 100 K to 1000 K ==
Most ordinary human activity takes place at temperatures of this order of magnitude.",https://en.wikipedia.org/wiki/Orders_of_magnitude_(temperature)
Thermal battery,A thermal energy battery is a physical structure used for the purpose of storing and releasing thermal energy—see also thermal energy storage.,https://en.wikipedia.org/wiki/Thermal_battery
Thermal energy storage,Thermal energy storage (TES) is achieved with widely different technologies.,https://en.wikipedia.org/wiki/Thermal_energy_storage
Fick's law of diffusion,Fick's laws of diffusion describe diffusion and were first posited by Adolf Fick in 1855 on the basis of largely experimental results.,https://en.wikipedia.org/wiki/Fick's_law_of_diffusion
"Hopkinson's law (""Ohm's law for magnetics"")",Ohm's law states that the current through a conductor between two points is directly proportional to the voltage across the two points.,"https://en.wikipedia.org/wiki/Hopkinson's_law_(""Ohm's_law_for_magnetics"")"
Maximum power transfer theorem,"In electrical engineering, the maximum power transfer theorem states that, to obtain maximum external power from a power source with internal resistance, the resistance of the load must equal the resistance of the source as viewed from its output terminals.",https://en.wikipedia.org/wiki/Maximum_power_transfer_theorem
Norton's theorem,"In direct-current circuit theory, Norton's theorem, also called the Mayer–Norton theorem, is a simplification that can be applied to networks made of linear time-invariant resistances, voltage sources, and current sources.",https://en.wikipedia.org/wiki/Norton's_theorem
Electric power,Electric power is the rate at which electrical energy is transferred by an electric circuit.,https://en.wikipedia.org/wiki/Electric_power
Sheet resistance,"Sheet resistance, is the resistance of a square piece of a thin material with contacts made to two opposite sides of the square.",https://en.wikipedia.org/wiki/Sheet_resistance
Superposition theorem,Exception occurred,https://en.wikipedia.org/wiki/Superposition_theorem
Thermal noise,"Johnson–Nyquist noise (thermal noise, Johnson noise, or Nyquist noise) is the electronic noise generated by the thermal agitation of the charge carriers (usually the electrons) inside an electrical conductor at equilibrium, which happens regardless of any applied voltage.",https://en.wikipedia.org/wiki/Thermal_noise
Thévenin's theorem,"As originally stated in terms of direct-current resistive circuits only, Thévenin's theorem states that ""Any linear electrical network containing only voltage sources, current sources and resistances can be replaced at terminals A–B by an equivalent combination of a voltage source Vth in a series connection with a resistance Rth.""

The equivalent voltage Vth is the voltage obtained at terminals A–B of the network with terminals A–B open circuited.",https://en.wikipedia.org/wiki/Thévenin's_theorem
"Other oxygen ions ozonide, O−3, superoxide, O−2, peroxide, O2−2 and dioxygenyl, O+2.","In chemistry, a superoxide is a compound that contains the superoxide ion, which has the chemical formula O−2.","https://en.wikipedia.org/wiki/Other_oxygen_ions_ozonide,_O−3,_superoxide,_O−2,_peroxide,_O2−2_and_dioxygenyl,_O+2."
Suboxide,"Buprenorphine/naloxone, sold under the brand name Suboxone among others, is a fixed-dose combination medication that includes buprenorphine and naloxone.",https://en.wikipedia.org/wiki/Suboxide
Oxohalide,"In chemistry, molecular oxohalides (oxyhalides) are a group of chemical compounds in which both oxygen and halogen atoms are attached to another chemical element A in a single molecule.",https://en.wikipedia.org/wiki/Oxohalide
Oxyanion,"An oxyanion, or oxoanion, is an ion with the generic formula AxOz−y (where A represents a chemical element and O represents an oxygen atom).",https://en.wikipedia.org/wiki/Oxyanion
Complex oxide,A complex oxide is a chemical compound that contains oxygen and at least two other elements (or oxygen and just one other element that's in at least two oxidation states).,https://en.wikipedia.org/wiki/Complex_oxide
See Category:Oxides for a list of oxides.,An oxide () is a chemical compound containing at least one oxygen atom and one other element in its chemical formula.,https://en.wikipedia.org/wiki/See_Category:Oxides_for_a_list_of_oxides.
Salt,"Saly (also called Sali or Saly Portudal) is a seaside resort area in Thiès Region on the Petite Côte of Senegal, south of Dakar.",https://en.wikipedia.org/wiki/Salt
Wet electrons,"Wet electrons in chemistry and physics, which occur on the surface of metal oxides, are a transition state for electrons between the solid and liquid states of matter.",https://en.wikipedia.org/wiki/Wet_electrons
Flywheel,A flywheel is a mechanical device which uses the conservation of angular momentum to store rotational energy; a form of kinetic energy proportional to the product of its moment of inertia and the square of its rotational speed.,https://en.wikipedia.org/wiki/Flywheel
List of energy storage projects,"This is a list of energy storage power plants worldwide, other than pumped hydro storage.",https://en.wikipedia.org/wiki/List_of_energy_storage_projects
Rigid rotor,"In rotordynamics, the rigid rotor is a mechanical model of rotating systems.",https://en.wikipedia.org/wiki/Rigid_rotor
Rotational spectroscopy,Rotational spectroscopy is concerned with the measurement of the energies of transitions between quantized rotational states of molecules in the gas phase.,https://en.wikipedia.org/wiki/Rotational_spectroscopy
Escape velocity,"In celestial mechanics, escape velocity or escape speed is the minimum speed needed for a free, non-propelled object to escape from the gravitational influence of a primary body, thus reaching an infinite distance from it.",https://en.wikipedia.org/wiki/Escape_velocity
Foot-pound,"The foot-pound force (symbol: ft⋅lbf,   ft⋅lbf, or ft⋅lb ) is a unit of work or energy in the engineering and gravitational systems in United States customary and imperial units of measure.",https://en.wikipedia.org/wiki/Foot-pound
Joule,"Yule (also called Jul, jól or joulu) is a winter festival historically observed by the Germanic peoples that was incorporated into Christmas during the Christianisation of the Germanic peoples and in the modern period is celebrated separate to the Christian festival by adherents of some new religious movements such as Modern Germanic paganism.",https://en.wikipedia.org/wiki/Joule
Kinetic energy penetrator,"A kinetic energy penetrator (KEP), also known as long-rod penetrator (LRP), is a type of ammunition designed to penetrate vehicle armour using a flechette-like, high-sectional density projectile.",https://en.wikipedia.org/wiki/Kinetic_energy_penetrator
Kinetic projectile,"A kinetic energy weapon (also known as kinetic weapon, kinetic energy warhead, kinetic warhead, kinetic projectile, kinetic kill vehicle) is a weapon based solely on a projectile's kinetic energy instead of an explosive or any other kind of payload.",https://en.wikipedia.org/wiki/Kinetic_projectile
Parallel axis theorem,"The parallel axis theorem, also known as Huygens–Steiner theorem, or just as Steiner's theorem, named after Christiaan Huygens and Jakob Steiner, can be used to determine the moment of inertia or the second moment of area of a rigid body about any axis, given the body's moment of inertia about a parallel axis through the object's center of gravity and the perpendicular distance between the axes.",https://en.wikipedia.org/wiki/Parallel_axis_theorem
Potential energy,"In physics, potential energy is the energy held by an object because of its position relative to other objects, stresses within itself, its electric charge, or other factors.",https://en.wikipedia.org/wiki/Potential_energy
Recoil,"Recoil (often called knockback, kickback or simply kick) is the rearward thrust generated when a gun is being discharged.",https://en.wikipedia.org/wiki/Recoil
Central moment,"In probability theory and statistics, a central moment is a moment of a probability distribution of a random variable about the random variable's mean; that is, it is the expected value of a specified integer power of the deviation of the random variable from the mean.",https://en.wikipedia.org/wiki/Central_moment
List of moments of inertia,Exception occurred,https://en.wikipedia.org/wiki/List_of_moments_of_inertia
Planar lamina,"In mathematics, a planar lamina (or plane lamina) is a figure representing a thin, usually uniform, flat layer of the solid.",https://en.wikipedia.org/wiki/Planar_lamina
Rotational energy,Rotational energy or angular kinetic energy is kinetic energy due to the rotation of an object and is part of its total kinetic energy.,https://en.wikipedia.org/wiki/Rotational_energy
Moment of inertia factor,"In planetary sciences, the moment of inertia factor or normalized polar moment of inertia is a dimensionless quantity that characterizes the radial distribution of mass inside a planet or satellite.",https://en.wikipedia.org/wiki/Moment_of_inertia_factor
Collision,"In physics, a collision is any event in which two or more bodies exert forces on each other in a relatively short time.",https://en.wikipedia.org/wiki/Collision
Inelastic collision,"In physics, an elastic collision is an encounter (collision) between two bodies  in which the total kinetic energy of the two bodies remains the same.",https://en.wikipedia.org/wiki/Inelastic_collision
Coefficient of restitution,"The coefficient of restitution (COR, also denoted by e), is the ratio of the final to initial relative speed between two objects after they collide.",https://en.wikipedia.org/wiki/Coefficient_of_restitution
Angular momentum,"In physics, angular momentum (sometimes called moment of momentum or rotational momentum) is the rotational analog of linear momentum.",https://en.wikipedia.org/wiki/Angular_momentum
Equations of motion for circular motion,"In physics, circular motion is a movement of an object along the circumference of a circle or rotation along a circular arc.",https://en.wikipedia.org/wiki/Equations_of_motion_for_circular_motion
Time derivative § Example: circular motion,"In physics, circular motion is a movement of an object along the circumference of a circle or rotation along a circular arc.",https://en.wikipedia.org/wiki/Time_derivative_§_Example:_circular_motion
Fictitious force,"A fictitious force is a force that appears to act on a mass whose motion is described using a non-inertial frame of reference, such as a linearly accelerating or rotating reference frame.",https://en.wikipedia.org/wiki/Fictitious_force
Geostationary orbit,"A geostationary orbit, also referred to as a geosynchronous equatorial orbit (GEO), is a circular geosynchronous orbit 35,786 km (22,236 mi) in altitude above Earth's equator, 42,164 km (26,199 mi) in radius from Earth's center, and following the direction of Earth's rotation.",https://en.wikipedia.org/wiki/Geostationary_orbit
Geosynchronous orbit,"A geosynchronous orbit (sometimes abbreviated GSO) is an Earth-centered orbit with an orbital period that matches Earth's rotation on its axis, 23 hours, 56 minutes, and 4 seconds (one sidereal day).",https://en.wikipedia.org/wiki/Geosynchronous_orbit
Pendulum (mathematics),A pendulum is a device made of a weight suspended from a pivot so that it can swing freely.,https://en.wikipedia.org/wiki/Pendulum_(mathematics)
Reactive centrifugal force,"In classical mechanics, a reactive centrifugal force forms part of an action–reaction pair with a centripetal force.",https://en.wikipedia.org/wiki/Reactive_centrifugal_force
Reciprocating motion,"Reciprocating motion, also called reciprocation, is a repetitive up-and-down or back-and-forth linear motion.",https://en.wikipedia.org/wiki/Reciprocating_motion
Simple harmonic motion § Uniform circular motion,"In physics, circular motion is a movement of an object along the circumference of a circle or rotation along a circular arc.",https://en.wikipedia.org/wiki/Simple_harmonic_motion_§_Uniform_circular_motion
Sling (weapon),"A sling is a projectile weapon typically used to throw a blunt projectile such as a stone, clay, or lead ""sling-bullet"".",https://en.wikipedia.org/wiki/Sling_(weapon)
Balancing of rotating masses,The balancing of rotating bodies is important to avoid vibration.,https://en.wikipedia.org/wiki/Balancing_of_rotating_masses
Centrifugal mechanism of acceleration,Centrifugal acceleration of astroparticles to relativistic energies might take place in rotating astrophysical objects (see also Fermi acceleration).,https://en.wikipedia.org/wiki/Centrifugal_mechanism_of_acceleration
Equivalence principle,"In the theory of general relativity, the equivalence principle is the equivalence of gravitational and inertial mass, and Albert Einstein's observation that the gravitational ""force"" as experienced locally while standing on a massive body (such as the Earth) is the same as the pseudo-force experienced by an observer in a non-inertial (accelerated) frame of reference.",https://en.wikipedia.org/wiki/Equivalence_principle
Folk physics,Naïve physics or folk physics is the untrained human perception of basic physical phenomena.,https://en.wikipedia.org/wiki/Folk_physics
Lagrangian point,"In celestial mechanics, the Lagrange points (; also Lagrangian points or libration points) are points of equilibrium for small-mass objects under the gravitational influence of two massive orbiting bodies.",https://en.wikipedia.org/wiki/Lagrangian_point
Lamm equation,The Lamm equation describes the sedimentation and diffusion of a solute under ultracentrifugation in traditional sector-shaped cells.,https://en.wikipedia.org/wiki/Lamm_equation
Angular acceleration,"In physics, angular acceleration (symbol α, alpha) is the time rate of change of angular velocity.",https://en.wikipedia.org/wiki/Angular_acceleration
Angular frequency,"In physics, angular frequency (symbol ω), also called angular speed and angular rate, is a scalar measure of the angle rate (the angle per unit time) or the temporal rate of change of the phase argument of a sinusoidal waveform or sine function (for example, in oscillations and waves).",https://en.wikipedia.org/wiki/Angular_frequency
Angular momentum,"In physics, angular momentum (sometimes called moment of momentum or rotational momentum) is the rotational analog of linear momentum.",https://en.wikipedia.org/wiki/Angular_momentum
Areal velocity,"In classical mechanics, areal velocity (also called sector velocity or sectorial velocity) is a pseudovector whose length equals the rate of change at which area is swept out by a particle as it moves along a curve.",https://en.wikipedia.org/wiki/Areal_velocity
Rigid body dynamics,"In the physical science of dynamics, rigid-body dynamics studies the movement of systems of interconnected bodies under the action of external forces.",https://en.wikipedia.org/wiki/Rigid_body_dynamics
Vorticity,"In continuum mechanics, vorticity is a pseudovector field that describes the local spinning motion of a continuum near some point (the tendency of something to rotate), as would be seen by an observer located at that point and traveling along with the flow.",https://en.wikipedia.org/wiki/Vorticity
Classical mechanics,"Classical mechanics is a physical theory describing the motion of macroscopic objects, from projectiles to parts of machinery and astronomical objects, such as spacecraft, planets, stars, and galaxies.",https://en.wikipedia.org/wiki/Classical_mechanics
Force field analysis – applications of force diagram in social science,"In physics and engineering, a free body diagram (FBD; also called a force diagram) is a graphical illustration used to visualize the applied forces, moments, and resulting reactions on a body in a given condition.",https://en.wikipedia.org/wiki/Force_field_analysis_–_applications_of_force_diagram_in_social_science
Kinematic diagram,"In mechanical engineering, a kinematic diagram or kinematic scheme (also called a joint map or skeleton diagram) illustrates the connectivity of links and joints of a mechanism or machine rather than the dimensions or shape of the parts.",https://en.wikipedia.org/wiki/Kinematic_diagram
Physics,Exception occurred,https://en.wikipedia.org/wiki/Physics
Shear and moment diagrams,Shear force and bending moment diagrams are analytical tools used in conjunction with structural analysis to help perform structural design by determining the value of shear forces and bending moments at a given point of a structural element such as a beam.,https://en.wikipedia.org/wiki/Shear_and_moment_diagrams
History of classical mechanics,This article deals with the history of classical mechanics.,https://en.wikipedia.org/wiki/History_of_classical_mechanics
List of eponymous laws,"This list of eponymous laws provides links to articles on laws, principles, adages, and other succinct observations or predictions named after a person.",https://en.wikipedia.org/wiki/List_of_eponymous_laws
List of equations in classical mechanics,Classical mechanics is the branch of physics used to describe the motion of macroscopic objects.,https://en.wikipedia.org/wiki/List_of_equations_in_classical_mechanics
List of scientific laws named after people,This is a list of scientific laws named after people (eponymous laws).,https://en.wikipedia.org/wiki/List_of_scientific_laws_named_after_people
List of textbooks on classical mechanics and quantum mechanics,This is a list of notable textbooks on classical mechanics and quantum mechanics arranged according to level and surnames of the authors in alphabetical order.,https://en.wikipedia.org/wiki/List_of_textbooks_on_classical_mechanics_and_quantum_mechanics
Norton's dome,Norton's dome is a thought experiment that exhibits a non-deterministic system within the bounds of Newtonian mechanics.,https://en.wikipedia.org/wiki/Norton's_dome


